filename,line_total,line_covered,line_percent,branch_total,branch_covered,branch_percent,function_total,function_covered,function_percent
shell.c,8743,531,0.061,6456,231,0.036000000000000004,391,48,0.12300000000000001
sqlite3.c,46328,10215,0.22,30925,4610,0.149,2476,864,0.349
